Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
A,20201117,88829.0,0.0,1571458.0,B/Q/N,NYSE,110.5,109.86,22.71,1.0986,0.05652648686760957,-0.11969996113984453,-0.051136734156609194,-0.005791855203619915,0.005135483660130719
AA,20201117,813978.0,6389.0,5443321.0,B/Q/N,NYSE,17.37,18.27,22.71,0.1827,0.1495370197715696,-0.16632508506954238,-0.17083368114730474,0.05181347150259059,0.029276249773395397
AAL,20201117,11879443.0,55183.0,61956503.0,B/Q/N,NASDAQ,12.48,12.7,22.71,0.127,0.19173843623808143,-0.17406288684266932,-0.40919420841472987,0.017628205128205038,0.10240764440511875
AAP,20201117,135693.0,0.0,1073190.0,B/Q/N,NYSE,149.92,149.3,22.71,1.493,0.12643893439185977,-0.440159525791953,-0.1784600192143549,-0.004135538954108699,0.015816038481965077
AAPL,20201117,18742564.0,100110.0,74270973.0,B/Q/N,NASDAQ,119.55,119.39,22.71,1.1939,0.2523538233436096,-0.12340679051666159,-0.1854736262403598,-0.0013383521539104691,0.004368417712428365
AAXJ,20201117,744045.0,561.0,2079984.0,B/Q/N,NASDAQ,84.91,85.18,22.71,0.8518000000000001,0.357716693974569,-0.08383909165115794,0.14504595908521134,0.003179837474973622,0.0346664
ABB,20201117,188951.0,2707.0,2441364.0,B/Q/N,NYSE,27.66,27.68,22.71,0.2768,0.07739566897848907,-0.2175425595780586,0.6258645066293548,0.0007230657989876925,0.0011260134007145556
ABBV,20201117,839459.0,6041.0,11593474.0,B/Q/N,NYSE,99.37,99.21,22.71,0.9921,0.07240789085307821,-0.27243782634770314,0.3463164196159561,-0.001610143906611762,0.006566777253950978
ABR,20201117,395426.0,3300.0,1744951.0,B/Q/N,NYSE,12.86,13.17,22.71,0.1317,0.22661152089657532,-0.07742791165932755,-0.16893798245814567,0.024105754276827412,0.01414117056149617
ABT,20201117,443385.0,1769.0,3793137.0,B/Q/N,NYSE,113.22,113.06,22.71,1.1306,0.1168913751335636,-0.3970480655976182,-0.08485807247623685,-0.001413177883766089,0.0021401597962080856
